Wilayah,Tahun,Laki-laki,Perempuan,Total
Kabupaten Cilacap,2020,10.59,6.75,9.10
Kabupaten Banyumas,2020,6.31,5.53,6.00
Kabupaten Purbalingga,2020,6.82,5.03,6.10
Kabupaten Banjarnegara,2020,6.17,5.36,5.86
Kabupaten Kebumen,2020,6.78,5.09,6.07
Kabupaten Purworejo,2020,3.83,4.30,4.04
Kabupaten Wonosobo,2020,5.98,4.46,5.37
Kabupaten Magelang,2020,4.95,3.43,4.27
Kabupaten Boyolali,2020,6.36,3.94,5.28
Kabupaten Klaten,2020,6.08,4.62,5.46
Kabupaten Sukoharjo,2020,6.70,7.24,6.93
Kabupaten Wonogiri,2020,5.38,2.90,4.27
Kabupaten Karanganyar,2020,5.67,6.34,5.96
Kabupaten Sragen,2020,5.32,4.04,4.75
Kabupaten Grobogan,2020,4.82,4.08,4.50
Kabupaten Blora,2020,6.18,3.06,4.89
Kabupaten Rembang,2020,6.40,2.45,4.83
Kabupaten Pati,2020,4.10,5.61,4.74
Kabupaten Kudus,2020,6.34,4.57,5.53
Kabupaten Jepara,2020,7.27,5.86,6.70
Kabupaten Demak,2020,7.02,7.72,7.31
Kabupaten Semarang,2020,5.31,3.67,4.57
Kabupaten Temanggung,2020,4.27,3.42,3.85
Kabupaten Kendal,2020,7.95,7.00,7.56
Kabupaten Batang,2020,6.48,7.63,6.92
Kabupaten Pekalongan,2020,8.10,5.35,6.97
Kabupaten Pemalang,2020,8.80,5.85,7.64
Kabupaten Tegal,2020,12.00,6.42,9.82
Kabupaten Brebes,2020,10.65,8.57,9.83
Kota Magelang,2020,8.96,8.16,8.59
Kota Surakarta,2020,7.52,8.42,7.92
Kota Salatiga,2020,7.39,7.49,7.44
Kota Semarang,2020,10.08,8.94,9.57
Kota Pekalongan,2020,8.05,5.77,7.02
Kota Tegal,2020,9.61,6.77,8.40
Kabupaten Cilacap,2021,12.05,6.48,9.97
Kabupaten Banyumas,2021,6.54,5.27,6.05
Kabupaten Purbalingga,2021,6.69,5.11,6.05
Kabupaten Banjarnegara,2021,6.62,4.68,5.86
Kabupaten Kebumen,2021,6.72,5.06,6.03
Kabupaten Purworejo,2021,3.15,4.15,3.59
Kabupaten Wonosobo,2021,6.06,4.10,5.26
Kabupaten Magelang,2021,6.19,3.55,5.03
Kabupaten Boyolali,2021,6.21,3.69,5.09
Kabupaten Klaten,2021,5.61,5.31,5.48
Kabupaten Sukoharjo,2021,3.93,2.52,3.32
Kabupaten Wonogiri,2021,3.14,1.57,2.43
Kabupaten Karanganyar,2021,5.93,5.86,5.89
Kabupaten Sragen,2021,3.39,6.44,4.76
Kabupaten Grobogan,2021,4.77,3.87,4.38
Kabupaten Blora,2021,3.86,3.74,3.81
Kabupaten Rembang,2021,4.09,3.07,3.67
Kabupaten Pati,2021,3.91,5.53,4.60
Kabupaten Kudus,2021,5.49,1.79,3.77
Kabupaten Jepara,2021,4.39,4.00,4.23
Kabupaten Demak,2021,6.07,4.08,5.28
Kabupaten Semarang,2021,5.61,4.26,5.02
Kabupaten Temanggung,2021,2.87,2.26,2.62
Kabupaten Kendal,2021,7.88,7.07,7.55
Kabupaten Batang,2021,6.01,7.43,6.59
Kabupaten Pekalongan,2021,4.03,4.63,4.28
Kabupaten Pemalang,2021,7.13,6.09,6.71
Kabupaten Tegal,2021,12.20,6.74,9.97
Kabupaten Brebes,2021,10.59,8.53,9.78
Kota Magelang,2021,9.29,8.06,8.73
Kota Surakarta,2021,8.20,7.41,7.85
Kota Salatiga,2021,7.31,7.21,7.26
Kota Semarang,2021,10.01,8.94,9.54
Kota Pekalongan,2021,7.75,5.79,6.89
Kota Tegal,2021,9.50,6.49,8.25
Kabupaten Cilacap,2022,9.18,10.34,9.62
Kabupaten Banyumas,2022,6.42,5.44,6.05
Kabupaten Purbalingga,2022,6.25,3.91,5.23
Kabupaten Banjarnegara,2022,7.60,4.57,6.38
Kabupaten Kebumen,2022,6.96,4.55,5.92
Kabupaten Purworejo,2022,4.62,4.24,4.45
Kabupaten Wonosobo,2022,3.41,7.39,5.01
Kabupaten Magelang,2022,5.42,4.44,4.97
Kabupaten Boyolali,2022,4.02,6.01,4.92
Kabupaten Klaten,2022,3.63,5.22,4.31
Kabupaten Sukoharjo,2022,2.16,2.87,2.47
Kabupaten Wonogiri,2022,2.23,1.61,1.95
Kabupaten Karanganyar,2022,5.74,5.63,5.70
Kabupaten Sragen,2022,2.27,7.89,4.69
Kabupaten Grobogan,2022,3.31,5.98,4.40
Kabupaten Blora,2022,4.88,2.18,3.70
Kabupaten Rembang,2022,1.63,1.93,1.76
Kabupaten Pati,2022,4.71,4.10,4.45
Kabupaten Kudus,2022,4.07,2.07,3.21
Kabupaten Jepara,2022,3.41,5.21,4.10
Kabupaten Demak,2022,5.47,7.08,6.11
Kabupaten Semarang,2022,6.09,3.27,4.81
Kabupaten Temanggung,2022,3.57,1.18,2.54
Kabupaten Kendal,2022,7.34,7.35,7.34
Kabupaten Batang,2022,7.75,5.07,6.64
Kabupaten Pekalongan,2022,3.95,2.21,3.23
Kabupaten Pemalang,2022,8.49,3.91,6.63
Kabupaten Tegal,2022,8.57,11.24,9.64
Kabupaten Brebes,2022,7.64,12.35,9.48
Kota Magelang,2022,8.45,4.51,6.71
Kota Surakarta,2022,7.23,4.08,5.83
Kota Salatiga,2022,6.64,4.34,5.58
Kota Semarang,2022,9.91,4.46,7.60
Kota Pekalongan,2022,6.04,3.47,4.98
Kota Tegal,2022,6.05,7.62,6.68
Kabupaten Cilacap,2023,9.43,7.52,8.74
Kabupaten Banyumas,2023,6.71,5.71,6.35
Kabupaten Purbalingga,2023,6.57,4.28,5.61
Kabupaten Banjarnegara,2023,5.01,8.21,6.26
Kabupaten Kebumen,2023,6.05,3.79,5.11
Kabupaten Purworejo,2023,5.45,2.11,4.02
Kabupaten Wonosobo,2023,4.20,6.07,4.95
Kabupaten Magelang,2023,4.35,4.51,4.42
Kabupaten Boyolali,2023,3.78,4.40,4.05
Kabupaten Klaten,2023,4.10,4.36,4.20
Kabupaten Sukoharjo,2023,4.03,2.55,3.40
Kabupaten Wonogiri,2023,2.34,1.43,1.92
Kabupaten Karanganyar,2023,4.37,4.32,4.35
Kabupaten Sragen,2023,4.20,3.42,3.87
Kabupaten Grobogan,2023,5.08,2.52,4.02
Kabupaten Blora,2023,3.63,2.44,3.10
Kabupaten Rembang,2023,2.65,2.53,2.60
Kabupaten Pati,2023,4.15,4.50,4.29
Kabupaten Kudus,2023,3.51,2.91,3.25
Kabupaten Jepara,2023,3.35,3.36,3.35
Kabupaten Demak,2023,4.55,6.59,5.38
Kabupaten Semarang,2023,3.35,4.94,4.05
Kabupaten Temanggung,2023,2.04,2.68,2.32
Kabupaten Kendal,2023,6.93,4.15,5.76
Kabupaten Batang,2023,6.15,5.93,6.06
Kabupaten Pekalongan,2023,3.55,2.78,3.25
Kabupaten Pemalang,2023,6.99,5.82,6.55
Kabupaten Tegal,2023,9.82,6.63,8.60
Kabupaten Brebes,2023,9.73,7.72,8.98
Kota Magelang,2023,6.13,4.15,5.25
Kota Surakarta,2023,5.83,2.90,4.58
Kota Salatiga,2023,5.37,3.58,4.57
Kota Semarang,2023,4.91,7.33,5.99
Kota Pekalongan,2023,5.27,4.69,5.02
Kota Tegal,2023,4.09,9.26,6.05
